golden,model,exact_rows_over_total,finite_mismatch_rows,finite_mismatch_rate_pct,ulp_max,ulp_mean,ulp_p50,ulp_p90,ulp_p99,ulp_p99_9
golden-fp16,golden-mirror,131072/131072,0,0.00%,0,0.000,0.0,0.0,0.0,0.0
golden-fp16,qflow-fixedconst-fp16,64162/131072,66910,52.69%,30721,2419.542,1.0,13590.0,30394.0,30717.0
golden-fp16,qflow-fixedconst-fp32,117358/131072,13714,10.80%,7409,1.707,0.0,1.0,12.0,140.0
golden-fp16,qflow-fixedconst-fp64,131072/131072,0,0.00%,0,0.000,0.0,0.0,0.0,0.0
golden-fp16,qflow-fixedconst-fp128,131072/131072,0,0.00%,0,0.000,0.0,0.0,0.0,0.0
golden-fp16,qflow-ph,131060/131072,12,0.01%,1,0.000,0.0,0.0,0.0,0.0
golden-fp16,qflow-ph-interp-u16-lin,52914/131072,78158,61.55%,2,0.628,1.0,1.0,2.0,2.0
golden-fp16,qflow-ph-interp-u16-quad,128638/131072,2434,1.92%,1,0.019,0.0,0.0,1.0,1.0
golden-fp16,qflow-ph-interp-nu16-lin,63660/131072,67412,53.09%,12,1.574,1.0,5.0,9.0,11.0
golden-fp16,qflow-ph-interp-nu16-quad,114716/131072,16356,12.88%,23,0.334,0.0,1.0,10.0,18.0
golden-fp16,qflow-ph-interp-u32-lin,117468/131072,13604,10.71%,1,0.107,0.0,1.0,1.0,1.0
golden-fp16,qflow-ph-interp-u32-quad,130750/131072,322,0.25%,1,0.003,0.0,0.0,0.0,1.0
golden-fp16,qflow-ph-interp-nu32-lin,90524/131072,40548,31.93%,3,0.390,0.0,1.0,2.0,3.0
golden-fp16,qflow-ph-interp-nu32-quad,126802/131072,4270,3.36%,6,0.051,0.0,0.0,1.0,4.0
golden-fp16,qflow-ph-interp-u64-lin,127736/131072,3336,2.63%,1,0.026,0.0,0.0,1.0,1.0
golden-fp16,qflow-ph-interp-u64-quad,131032/131072,40,0.03%,1,0.000,0.0,0.0,0.0,0.0
golden-fp16,qflow-ph-interp-nu64-lin,119056/131072,12016,9.46%,1,0.095,0.0,0.0,1.0,1.0
golden-fp16,qflow-ph-interp-nu64-quad,130100/131072,972,0.77%,2,0.008,0.0,0.0,0.0,1.0
golden-fp16,qflow-ph-interp-u128-lin,130196/131072,876,0.69%,1,0.007,0.0,0.0,0.0,1.0
golden-fp16,qflow-ph-interp-u128-quad,131058/131072,14,0.01%,1,0.000,0.0,0.0,0.0,0.0
golden-fp16,qflow-ph-interp-nu128-lin,128036/131072,3036,2.39%,1,0.024,0.0,0.0,1.0,1.0
golden-fp16,qflow-ph-interp-nu128-quad,130902/131072,170,0.13%,1,0.001,0.0,0.0,0.0,1.0
